prov_id,mun_id,total_2023,hombres_2023,mujeres_2023,ine_id,municipio,km2,densidad
02,02051,2040.0,1065.0,975.0,2051000000,Montealegre del castillo,17782.0,0.1147227533460803
02,02052,661.0,362.0,299.0,2052000000,Motilleja,2382.0,0.2774979009235936
02,02053,3409.0,1764.0,1645.0,2053000000,Munera,22943.0,0.14858562524517283
02,02054,520.0,273.0,247.0,2054000000,Navas de jorquera,4226.0,0.12304779933743493
02,02055,1174.0,659.0,515.0,2055000000,Nerpio,43488.0,0.026995952906548933
02,02056,1913.0,959.0,954.0,2056000000,Ontur,5441.0,0.351589781290204
02,02057,2209.0,1135.0,1074.0,2057000000,Ossa de montiel,2435.0,0.9071868583162218
02,02058,351.0,193.0,158.0,2058000000,Paterna del madera,11234.0,0.03124443653195656
02,02059,329.0,191.0,138.0,2059000000,Peñascosa,18926.0,0.017383493606678645
02,02060,1447.0,853.0,594.0,2060000000,Peñas de san pedro,15876.0,0.09114386495338876
02,02061,669.0,351.0,318.0,2061000000,Petrola,7461.0,0.08966626457579413
02,02062,393.0,213.0,180.0,2062000000,Povedilla,4943.0,0.07950637264818936
02,02063,1551.0,813.0,738.0,2063000000,Pozohondo,13649.0,0.11363469851271156
02,02064,392.0,200.0,192.0,2064000000,Pozo-lorente,8096.0,0.04841897233201581
02,02065,470.0,255.0,215.0,2065000000,Pozuelo,13398.0,0.035079862666069564
02,02066,221.0,122.0,99.0,2066000000,La recueja,2974.0,0.07431069266980497
02,02067,1326.0,673.0,653.0,2067000000,Riopar,8092.0,0.1638655462184874
02,02068,394.0,215.0,179.0,2068000000,Robledo,12008.0,0.032811459027315124
02,02069,15542.0,7821.0,7721.0,2069000000,La roda,39889.0,0.38963122665396477
02,02070,435.0,232.0,203.0,2070000000,Salobre,4953.0,0.08782556026650515
02,02071,1191.0,612.0,579.0,2071000000,San pedro,8312.0,0.14328681424446582
02,02072,1705.0,883.0,822.0,2072000000,Socovos,13904.0,0.12262658227848101
02,02073,6138.0,3168.0,2970.0,2073000000,Tarazona de la mancha,21268.0,0.2886025954485612
02,02074,7824.0,4053.0,3771.0,2074000000,Tobarra,32465.0,0.24099799784383183
02,02075,1950.0,998.0,952.0,2075000000,Valdeganga,7066.0,0.2759694310784036
02,02076,322.0,166.0,156.0,2076000000,Vianos,12804.0,0.02514839112777257
02,02077,61.0,34.0,27.0,2077000000,Villa de ves,5754.0,0.010601320820298922
02,02078,1086.0,570.0,516.0,2078000000,Villalgordo del jucar,4668.0,0.2326478149100257
02,02079,3929.0,2011.0,1918.0,2079000000,Villamalea,12834.0,0.306139940782297
02,02080,553.0,291.0,262.0,2080000000,Villapalacios,8748.0,0.06321444901691815
02,02081,25189.0,12450.0,12739.0,2081000000,Villarrobledo,86241.0,0.2920768543964008
02,02082,114.0,67.0,47.0,2082000000,Villatoya,1883.0,0.0605416887944769
02,02083,209.0,127.0,82.0,2083000000,Villavaliente,3484.0,0.059988518943742825
02,02084,311.0,171.0,140.0,2084000000,Villaverde de guadalimar,6908.0,0.04502026635784598
02,02085,308.0,161.0,147.0,2085000000,Viveros,6537.0,0.047116414257304576
02,02086,2478.0,1292.0,1186.0,2086000000,Yeste,51122.0,0.048472281992097334
